name,cylinders,displacement,horsepower,weight,acceleration,origin,OilExpensive,Old?
dodge monaco (sw),8,383,180,4955,11,1,inexpensive,old
ford country squire (sw),8,400,170,4746,12,1,inexpensive,old
pontiac safari (sw),8,400,175,5140,12,1,inexpensive,old
amc hornet sportabout (sw),6,258,110,2962,13,1,inexpensive,old
chevrolet vega (sw),4,140,72,2408,19,1,inexpensive,old
pontiac firebird,6,250,100,3282,15,1,inexpensive,old
ford mustang,6,250,88,3139,14,1,inexpensive,old
mercury capri 2000,4,122,86,2220,14,1,inexpensive,old
opel 1900,4,116,90,2123,14,2,expensive,old
peugeot 304,4,79,70,2074,19,2,expensive,old
fiat 124b,4,88,76,2065,14,2,expensive,old
toyota corolla 1200,4,71,65,1773,19,3,expensive,old
datsun 1200,4,72,69,1613,18,3,expensive,old
volkswagen model 111,4,97,60,1834,19,2,expensive,old
plymouth cricket,4,91,70,1955,20,1,expensive,old
toyota corona hardtop,4,113,95,2278,15,3,inexpensive,old
dodge colt hardtop,4,97,80,2126,17,1,inexpensive,old
volkswagen type 3,4,97,54,2254,23,2,inexpensive,old
chevrolet vega,4,140,90,2408,19,1,inexpensive,old
ford pinto runabout,4,122,86,2226,16,1,inexpensive,old
chevrolet impala,8,350,165,4274,12,1,inexpensive,old
pontiac catalina,8,400,175,4385,12,1,inexpensive,old
plymouth fury iii,8,318,150,4135,13,1,inexpensive,old
ford galaxie 500,8,351,153,4129,13,1,inexpensive,old
amc ambassador sst,8,304,150,3672,11,1,inexpensive,old
mercury marquis,8,429,208,4633,11,1,inexpensive,old
buick lesabre custom,8,350,155,4502,13,1,inexpensive,old
oldsmobile delta 88 royale,8,350,160,4456,13,1,inexpensive,old
chrysler newport royal,8,400,190,4422,12,1,inexpensive,old
mazda rx2 coupe,3,70,97,2330,13,3,inexpensive,old
amc matador (sw),8,304,150,3892,12,1,inexpensive,old
chevrolet chevelle concours (sw),8,307,130,4098,14,1,inexpensive,old
ford gran torino (sw),8,302,140,4294,16,1,inexpensive,old
plymouth satellite custom (sw),8,318,150,4077,14,1,inexpensive,old
volvo 145e (sw),4,121,112,2933,14,2,inexpensive,old
volkswagen 411 (sw),4,121,76,2511,18,2,inexpensive,old
peugeot 504 (sw),4,120,87,2979,19,2,inexpensive,old
renault 12 (sw),4,96,69,2189,18,2,expensive,old
ford pinto (sw),4,122,86,2395,16,1,inexpensive,old
datsun 510 (sw),4,97,92,2288,17,3,expensive,old
toyouta corona mark ii (sw),4,120,97,2506,14,3,inexpensive,old
dodge colt (sw),4,98,80,2164,15,1,expensive,old
toyota corolla 1600 (sw),4,97,88,2100,16,3,expensive,old
buick century 350,8,350,175,4100,13,1,inexpensive,old
amc matador,8,304,150,3672,11,1,inexpensive,old
chevrolet malibu,8,350,145,3988,13,1,inexpensive,old
ford gran torino,8,302,137,4042,14,1,inexpensive,old
dodge coronet custom,8,318,150,3777,12,1,inexpensive,old
mercury marquis brougham,8,429,198,4952,11,1,inexpensive,old
chevrolet caprice classic,8,400,150,4464,12,1,inexpensive,old
ford ltd,8,351,158,4363,13,1,inexpensive,old
plymouth fury gran sedan,8,318,150,4237,14,1,inexpensive,old
chrysler new yorker brougham,8,440,215,4735,11,1,inexpensive,old
buick electra 225 custom,8,455,225,4951,11,1,inexpensive,old
amc ambassador brougham,8,360,175,3821,11,1,inexpensive,old
plymouth valiant,6,225,105,3121,16,1,inexpensive,old
chevrolet nova custom,6,250,100,3278,18,1,inexpensive,old
amc hornet,6,232,100,2945,16,1,inexpensive,old
ford maverick,6,250,88,3021,16,1,inexpensive,old
plymouth duster,6,198,95,2904,16,1,inexpensive,old
volkswagen super beetle,4,97,46,1950,21,2,expensive,old
chevrolet impala,8,400,150,4997,14,1,inexpensive,old
ford country,8,400,167,4906,12,1,inexpensive,old
plymouth custom suburb,8,360,170,4654,13,1,inexpensive,old
oldsmobile vista cruiser,8,350,180,4499,12,1,inexpensive,old
amc gremlin,6,232,100,2789,15,1,inexpensive,old
toyota carina,4,97,88,2279,19,3,inexpensive,old
chevrolet vega,4,140,72,2401,19,1,inexpensive,old
datsun 610,4,108,94,2379,16,3,inexpensive,old
maxda rx3,3,70,90,2124,13,3,inexpensive,old
ford pinto,4,122,85,2310,18,1,inexpensive,old
mercury capri v6,6,155,107,2472,14,1,inexpensive,old
fiat 124 sport coupe,4,98,90,2265,15,2,expensive,old
chevrolet monte carlo s,8,350,145,4082,13,1,inexpensive,old
pontiac grand prix,8,400,230,4278,9,1,inexpensive,old
fiat 128,4,68,49,1867,19,2,expensive,old
opel manta,4,116,75,2158,15,2,inexpensive,old
audi 100ls,4,114,91,2582,14,2,inexpensive,old
volvo 144ea,4,121,112,2868,15,2,inexpensive,old
dodge dart custom,8,318,150,3399,11,1,inexpensive,old
saab 99le,4,121,110,2660,14,2,inexpensive,old
toyota mark ii,6,156,122,2807,13,3,inexpensive,old
oldsmobile omega,8,350,180,3664,11,1,inexpensive,old
plymouth duster,6,198,95,3102,16,1,inexpensive,old
amc hornet,6,232,100,2901,16,1,inexpensive,old
chevrolet nova,6,250,100,3336,17,1,inexpensive,old
datsun b210,4,79,67,1950,19,3,expensive,old
ford pinto,4,122,80,2451,16,1,expensive,old
toyota corolla 1200,4,71,65,1836,21,3,expensive,old
chevrolet vega,4,140,75,2542,17,1,inexpensive,old
chevrolet chevelle malibu classic,6,250,100,3781,17,1,inexpensive,old
amc matador,6,258,110,3632,18,1,inexpensive,old
plymouth satellite sebring,6,225,105,3613,16,1,inexpensive,old
ford gran torino,8,302,140,4141,14,1,inexpensive,old
buick century luxus (sw),8,350,150,4699,14,1,inexpensive,old
dodge coronet custom (sw),8,318,150,4457,13,1,inexpensive,old
ford gran torino (sw),8,302,140,4638,16,1,inexpensive,old
amc matador (sw),8,304,150,4257,15,1,inexpensive,old
audi fox,4,98,83,2219,16,2,expensive,old
volkswagen dasher,4,79,67,1963,15,2,expensive,old
opel manta,4,97,78,2300,14,2,expensive,old
toyota corona,4,76,52,1649,16,3,expensive,old
datsun 710,4,83,61,2003,19,3,expensive,old
dodge colt,4,90,75,2125,14,1,expensive,old
fiat 128,4,90,75,2108,15,2,inexpensive,old
fiat 124 tc,4,116,75,2246,14,2,expensive,old
honda civic,4,120,97,2489,15,3,inexpensive,old
subaru,4,108,93,2391,15,3,expensive,old
fiat x1.9,4,79,67,2000,16,2,expensive,old
plymouth valiant custom,6,225,95,3264,16,1,inexpensive,old
chevrolet nova,6,250,105,3459,16,1,inexpensive,old
mercury monarch,6,250,72,3432,21,1,inexpensive,old
ford maverick,6,250,72,3158,19,1,inexpensive,old
pontiac catalina,8,400,170,4668,11,1,inexpensive,old
chevrolet bel air,8,350,145,4440,14,1,inexpensive,old
plymouth grand fury,8,318,150,4498,14,1,inexpensive,old
ford ltd,8,351,148,4657,13,1,inexpensive,old
buick century,6,231,110,3907,21,1,inexpensive,old
chevroelt chevelle malibu,6,250,105,3897,18,1,inexpensive,old
amc matador,6,258,110,3730,19,1,inexpensive,old
plymouth fury,6,225,95,3785,19,1,inexpensive,old
buick skyhawk,6,231,110,3039,15,1,inexpensive,old
chevrolet monza 2+2,8,262,110,3221,13,1,inexpensive,old
ford mustang ii,8,302,129,3169,12,1,inexpensive,old
toyota corolla,4,97,75,2171,16,3,expensive,old
ford pinto,4,140,83,2639,17,1,inexpensive,old
amc gremlin,6,232,100,2914,16,1,inexpensive,old
pontiac astro,4,140,78,2592,18,1,inexpensive,old
toyota corona,4,134,96,2702,13,3,inexpensive,old
volkswagen dasher,4,90,71,2223,16,2,inexpensive,old
datsun 710,4,119,97,2545,17,3,inexpensive,old
ford pinto,6,171,97,2984,14,1,inexpensive,old
volkswagen rabbit,4,90,70,1937,14,2,expensive,old
amc pacer,6,232,90,3211,17,1,inexpensive,old
audi 100ls,4,115,95,2694,15,2,inexpensive,old
peugeot 504,4,120,88,2957,17,2,inexpensive,old
volvo 244dl,4,121,98,2945,14,2,inexpensive,old
saab 99le,4,121,115,2671,13,2,inexpensive,old
honda civic cvcc,4,91,53,1795,17,3,expensive,old
fiat 131,4,107,86,2464,15,2,expensive,old
opel 1900,4,116,81,2220,16,2,inexpensive,old
capri ii,4,140,92,2572,14,1,inexpensive,old
dodge colt,4,98,79,2255,17,1,expensive,old
renault 12tl,4,101,83,2202,15,2,expensive,old
chevrolet chevelle malibu classic,8,305,140,4215,13,1,inexpensive,old
dodge coronet brougham,8,318,150,4190,13,1,inexpensive,old
amc matador,8,304,120,3962,13,1,inexpensive,old
ford gran torino,8,351,152,4215,12,1,inexpensive,old
plymouth valiant,6,225,100,3233,15,1,inexpensive,old
chevrolet nova,6,250,105,3353,14,1,inexpensive,old
ford maverick,6,200,81,3012,17,1,inexpensive,old
amc hornet,6,232,90,3085,17,1,inexpensive,old
chevrolet chevette,4,85,52,2035,22,1,expensive,old
chevrolet woody,4,98,60,2164,22,1,inexpensive,old
vw rabbit,4,90,70,1937,14,2,expensive,old
honda civic,4,91,53,1795,17,3,expensive,old
dodge aspen se,6,225,100,3651,17,1,inexpensive,old
ford granada ghia,6,250,78,3574,21,1,inexpensive,old
pontiac ventura sj,6,250,110,3645,16,1,inexpensive,old
amc pacer d/l,6,258,95,3193,17,1,inexpensive,old
volkswagen rabbit,4,97,71,1825,12,2,expensive,old
datsun b-210,4,85,70,1990,17,3,expensive,old
toyota corolla,4,97,75,2155,16,3,expensive,old
ford pinto,4,140,72,2565,13,1,expensive,old
volvo 245,4,130,102,3150,15,2,inexpensive,old
plymouth volare premier v8,8,318,150,3940,13,1,inexpensive,old
peugeot 504,4,120,88,3270,21,2,inexpensive,old
toyota mark ii,6,156,108,2930,15,3,inexpensive,old
mercedes-benz 280s,6,168,120,3820,16,2,inexpensive,old
cadillac seville,8,350,180,4380,12,1,inexpensive,old
chevy c10,8,350,145,4055,12,1,inexpensive,old
ford f108,8,302,130,3870,15,1,inexpensive,old
dodge d100,8,318,150,3755,14,1,inexpensive,old
honda accord cvcc,4,98,68,2045,18,3,expensive,new
buick opel isuzu deluxe,4,111,80,2155,14,1,expensive,new
renault 5 gtl,4,79,58,1825,18,2,expensive,new
plymouth arrow gs,4,122,96,2300,15,1,inexpensive,new
datsun f-10 hatchback,4,85,70,1945,16,3,expensive,new
chevrolet caprice classic,8,305,145,3880,12,1,inexpensive,new
oldsmobile cutlass supreme,8,260,110,4060,19,1,inexpensive,new
dodge monaco brougham,8,318,145,4140,13,1,inexpensive,new
mercury cougar brougham,8,302,130,4295,14,1,inexpensive,new
chevrolet concours,6,250,110,3520,16,1,inexpensive,new
buick skylark,6,231,105,3425,16,1,inexpensive,new
plymouth volare custom,6,225,100,3630,17,1,inexpensive,new
ford granada,6,250,98,3525,19,1,inexpensive,new
pontiac grand prix lj,8,400,180,4220,11,1,inexpensive,new
chevrolet monte carlo landau,8,350,170,4165,11,1,inexpensive,new
chrysler cordoba,8,400,190,4325,12,1,inexpensive,new
ford thunderbird,8,351,149,4335,14,1,inexpensive,new
volkswagen rabbit custom,4,97,78,1940,14,2,expensive,new
pontiac sunbird coupe,4,151,88,2740,16,1,inexpensive,new
toyota corolla liftback,4,97,75,2265,18,3,expensive,new
ford mustang ii 2+2,4,140,89,2755,15,1,inexpensive,new
chevrolet chevette,4,98,63,2051,17,1,expensive,new
dodge colt m/m,4,98,83,2075,15,1,expensive,new
subaru dl,4,97,67,1985,16,3,expensive,new
volkswagen dasher,4,97,78,2190,14,2,expensive,new
datsun 810,6,146,97,2815,14,3,inexpensive,new
bmw 320i,4,121,110,2600,12,2,inexpensive,new
mazda rx-4,3,80,110,2720,13,3,inexpensive,new
volkswagen rabbit custom diesel,4,90,48,1985,21,2,expensive,new
ford fiesta,4,98,66,1800,14,1,expensive,new
mazda glc deluxe,4,78,52,1985,19,3,expensive,new
datsun b210 gx,4,85,70,2070,18,3,expensive,new
honda civic cvcc,4,91,60,1800,16,3,expensive,new
oldsmobile cutlass salon brougham,8,260,110,3365,15,1,inexpensive,new
dodge diplomat,8,318,140,3735,13,1,inexpensive,new
mercury monarch ghia,8,302,139,3570,12,1,inexpensive,new
pontiac phoenix lj,6,231,105,3535,19,1,inexpensive,new
chevrolet malibu,6,200,95,3155,18,1,inexpensive,new
ford fairmont (auto),6,200,85,2965,15,1,inexpensive,new
ford fairmont (man),4,140,88,2720,15,1,inexpensive,new
plymouth volare,6,225,100,3430,17,1,inexpensive,new
amc concord,6,232,90,3210,17,1,inexpensive,new
buick century special,6,231,105,3380,15,1,inexpensive,new
mercury zephyr,6,200,85,3070,16,1,inexpensive,new
dodge aspen,6,225,110,3620,18,1,inexpensive,new
amc concord d/l,6,258,120,3410,15,1,inexpensive,new
chevrolet monte carlo landau,8,305,145,3425,13,1,inexpensive,new
buick regal sport coupe (turbo),6,231,165,3445,13,1,inexpensive,new
ford futura,8,302,139,3205,11,1,inexpensive,new
dodge magnum xe,8,318,140,4080,13,1,inexpensive,new
chevrolet chevette,4,98,68,2155,16,1,expensive,new
toyota corona,4,134,95,2560,14,3,expensive,new
datsun 510,4,119,97,2300,14,3,expensive,new
dodge omni,4,105,75,2230,14,1,expensive,new
toyota celica gt liftback,4,134,95,2515,14,3,inexpensive,new
plymouth sapporo,4,156,105,2745,16,1,inexpensive,new
oldsmobile starfire sx,4,151,85,2855,17,1,inexpensive,new
datsun 200-sx,4,119,97,2405,14,3,inexpensive,new
audi 5000,5,131,103,2830,15,2,inexpensive,new
volvo 264gl,6,163,125,3140,13,2,inexpensive,new
saab 99gle,4,121,115,2795,15,2,inexpensive,new
peugeot 604sl,6,163,133,3410,15,2,inexpensive,new
volkswagen scirocco,4,89,71,1990,14,2,expensive,new
honda accord lx,4,98,68,2135,16,3,expensive,new
pontiac lemans v6,6,231,115,3245,15,1,inexpensive,new
mercury zephyr 6,6,200,85,2990,18,1,inexpensive,new
ford fairmont 4,4,140,88,2890,17,1,inexpensive,new
amc concord dl 6,6,232,90,3265,18,1,inexpensive,new
dodge aspen 6,6,225,110,3360,16,1,inexpensive,new
chevrolet caprice classic,8,305,130,3840,15,1,inexpensive,new
ford ltd landau,8,302,129,3725,13,1,inexpensive,new
mercury grand marquis,8,351,138,3955,13,1,inexpensive,new
dodge st. regis,8,318,135,3830,15,1,inexpensive,new
buick estate wagon (sw),8,350,155,4360,14,1,inexpensive,new
ford country squire (sw),8,351,142,4054,14,1,inexpensive,new
chevrolet malibu classic (sw),8,267,125,3605,15,1,inexpensive,new
chrysler lebaron town @ country (sw),8,360,150,3940,13,1,inexpensive,new
vw rabbit custom,4,89,71,1925,14,2,expensive,new
maxda glc deluxe,4,86,65,1975,15,3,expensive,new
dodge colt hatchback custom,4,98,80,1915,14,1,expensive,new
amc spirit dl,4,121,80,2670,15,1,expensive,new
mercedes benz 300d,5,183,77,3530,20,2,inexpensive,new
cadillac eldorado,8,350,125,3900,17,1,inexpensive,new
peugeot 504,4,141,71,3190,24,2,expensive,new
oldsmobile cutlass salon brougham,8,260,90,3420,22,1,inexpensive,new
plymouth horizon,4,105,70,2200,13,1,expensive,new
plymouth horizon tc3,4,105,70,2150,14,1,expensive,new
datsun 210,4,85,65,2020,19,3,expensive,new
fiat strada custom,4,91,69,2130,14,2,expensive,new
buick skylark limited,4,151,90,2670,16,1,expensive,new
chevrolet citation,6,173,115,2595,11,1,expensive,new
oldsmobile omega brougham,6,173,115,2700,12,1,expensive,new
pontiac phoenix,4,151,90,2556,13,1,expensive,new
vw rabbit,4,98,76,2144,14,2,expensive,new
toyota corolla tercel,4,89,60,1968,18,3,expensive,new
chevrolet chevette,4,98,70,2120,15,1,expensive,new
datsun 310,4,86,65,2019,16,3,expensive,new
chevrolet citation,4,151,90,2678,16,1,expensive,new
ford fairmont,4,140,88,2870,18,1,expensive,new
amc concord,4,151,90,3003,20,1,inexpensive,new
dodge aspen,6,225,90,3381,18,1,inexpensive,new
audi 4000,4,97,78,2188,15,2,expensive,new
toyota corona liftback,4,134,90,2711,15,3,expensive,new
mazda 626,4,120,75,2542,17,3,expensive,new
datsun 510 hatchback,4,119,92,2434,15,3,expensive,new
toyota corolla,4,108,75,2265,15,3,expensive,new
mazda glc,4,86,65,2110,17,3,expensive,new
dodge colt,4,156,105,2800,14,1,expensive,new
datsun 210,4,85,65,2110,19,3,expensive,new
vw rabbit c (diesel),4,90,48,2085,21,2,expensive,new
vw dasher (diesel),4,90,48,2335,23,2,expensive,new
audi 5000s (diesel),5,121,67,2950,19,2,expensive,new
mercedes-benz 240d,4,146,67,3250,21,2,expensive,new
honda civic 1500 gl,4,91,67,1850,13,3,expensive,new
subaru dl,4,97,67,2145,18,3,expensive,new
vokswagen rabbit,4,89,62,1845,15,2,expensive,new
datsun 280-zx,6,168,132,2910,11,3,expensive,new
mazda rx-7 gs,3,70,100,2420,12,3,inexpensive,new
triumph tr7 coupe,4,122,88,2500,15,2,expensive,new
honda accord,4,107,72,2290,17,3,expensive,new
plymouth reliant,4,135,84,2490,15,1,expensive,new
buick skylark,4,151,84,2635,16,1,expensive,new
dodge aries wagon (sw),4,156,92,2620,14,1,inexpensive,new
chevrolet citation,6,173,110,2725,12,1,inexpensive,new
plymouth reliant,4,135,84,2385,12,1,expensive,new
toyota starlet,4,79,58,1755,16,3,expensive,new
plymouth champ,4,86,64,1875,16,1,expensive,new
honda civic 1300,4,81,60,1760,16,3,expensive,new
subaru,4,97,67,2065,17,3,expensive,new
datsun 210 mpg,4,85,65,1975,19,3,expensive,new
toyota tercel,4,89,62,2050,17,3,expensive,new
mazda glc 4,4,91,68,1985,16,3,expensive,new
plymouth horizon 4,4,105,63,2215,14,1,expensive,new
ford escort 4w,4,98,65,2045,16,1,expensive,new
ford escort 2h,4,98,65,2380,20,1,expensive,new
volkswagen jetta,4,105,74,2190,14,2,expensive,new
honda prelude,4,107,75,2210,14,3,expensive,new
toyota corolla,4,108,75,2350,16,3,expensive,new
datsun 200sx,4,119,100,2615,14,3,expensive,new
mazda 626,4,120,74,2635,18,3,expensive,new
peugeot 505s turbo diesel,4,141,80,3230,20,2,expensive,new
volvo diesel,6,145,76,3160,19,2,expensive,new
toyota cressida,6,168,116,2900,12,3,inexpensive,new
datsun 810 maxima,6,146,120,2930,13,3,inexpensive,new
buick century,6,231,110,3415,15,1,inexpensive,new
oldsmobile cutlass ls,8,350,105,3725,19,1,expensive,new
ford granada gl,6,200,88,3060,17,1,inexpensive,new
chrysler lebaron salon,6,225,85,3465,16,1,inexpensive,new
chevrolet cavalier,4,112,88,2605,19,1,expensive,new
chevrolet cavalier wagon,4,112,88,2640,18,1,expensive,new
chevrolet cavalier 2-door,4,112,88,2395,18,1,expensive,new
pontiac j2000 se hatchback,4,112,85,2575,16,1,expensive,new
dodge aries se,4,135,84,2525,16,1,expensive,new
pontiac phoenix,4,151,90,2735,18,1,expensive,new
ford fairmont futura,4,140,92,2865,16,1,inexpensive,new
volkswagen rabbit l,4,105,74,1980,15,2,expensive,new
mazda glc custom l,4,91,68,2025,18,3,expensive,new
mazda glc custom,4,91,68,1970,17,3,expensive,new
plymouth horizon miser,4,105,63,2125,14,1,expensive,new
mercury lynx l,4,98,70,2125,17,1,expensive,new
nissan stanza xe,4,120,88,2160,14,3,expensive,new
honda accord,4,107,75,2205,14,3,expensive,new
toyota corolla,4,108,70,2245,16,3,expensive,new
honda civic,4,91,67,1965,15,3,expensive,new
honda civic (auto),4,91,67,1965,15,3,expensive,new
datsun 310 gx,4,91,67,1995,16,3,expensive,new
buick century limited,6,181,110,2945,16,1,inexpensive,new
oldsmobile cutlass ciera (diesel),6,262,85,3015,17,1,expensive,new
chrysler lebaron medallion,4,156,92,2585,14,1,expensive,new
ford granada l,6,232,112,2835,14,1,inexpensive,new
toyota celica gt,4,144,96,2665,13,3,expensive,new
dodge charger 2.2,4,135,84,2370,13,1,expensive,new
chevrolet camaro,4,151,90,2950,17,1,expensive,new
ford mustang gl,4,140,86,2790,15,1,expensive,new
vw pickup,4,97,52,2130,24,2,expensive,new
dodge rampage,4,135,84,2295,11,1,expensive,new
ford ranger,4,120,79,2625,18,1,expensive,new
chevy s-10,4,119,82,2720,19,1,expensive,new
